City_ID,city_names,latitude,longitude,Wind_Speed,Max_temp,Cloudiness,Humidity,Country,Date
207,domodossola,-49.0456,42.9976,3.64,279.66,88,90,no country info,1712119486.0
208,motueka,42.9976,-77.5409,9.26,280.86,100,86,US,1712119487.0
209,kingston,-77.5409,-24.7189,3.16,250.1,100,98,no country info,1712119489.0
210,ban dung,-24.7189,64.6032,11.51,297.07,100,79,no country info,1712119490.0
211,constantia,64.6032,78.9185,11.84,273.55,100,93,RU,1712119492.0
212,palmas,78.9185,66.5395,5.37,250.26,95,94,no country info,1712119493.0
213,iskateley,66.5395,-115.6794,1.99,249.68,29,100,CA,1712119495.0
214,praia,75.5986,-120.0226,1.95,244.46,33,100,CA,1712119498.0
215,rabo de peixe,73.1633,-147.6216,5.2,249.64,72,97,no country info,1712119501.0
216,thunder bay,-11.8984,27.5703,1.13,290.9,100,98,CD,1712119504.0
217,la passe,27.5703,68.7573,2.7,306.22,100,9,PK,1712119505.0
218,satupa'itea,68.7573,28.8224,0.4,256.05,26,86,FI,1712119507.0
219,winterswijk,28.8224,39.9495,3.65,291.25,23,28,SA,1712119508.0
220,west island,39.9495,-60.8288,7.4,281.73,100,61,no country info,1712119510.0
221,copala,-60.8288,54.9662,13.65,272.73,100,90,no country info,1712119511.0
222,christchurch,54.9662,170.7573,20.17,273.79,100,86,no country info,1712119513.0
223,chonchi,-52.8927,-154.4049,7.71,280.84,5,71,no country info,1712119516.0
224,smithers,-7.9898,-170.6963,1.32,302.66,3,69,no country info,1712119519.0
225,rawlins,38.0787,2.9749,5.03,289.29,11,75,ES,1712119522.0
226,puerto aysen,2.9749,3.8437,5.43,301.99,59,77,no country info,1712119523.0
227,san jose de jachal,3.8437,-94.0996,3.19,301.15,15,75,no country info,1712119525.0
228,petropavlovsk-kamchatsky,-9.9871,134.4852,6.47,302.61,100,73,no country info,1712119528.0
229,minas de marcona,-9.9191,119.6113,3.04,302.43,99,76,ID,1712119531.0
230,kelibia,21.0771,-41.4325,4.42,297.11,100,79,no country info,1712119534.0
